Season,Round,Team,Opponent,Venue,Team_GF_avg,Team_GA_avg,Team_Poss_avg,Opponent_GF_avg,Opponent_GA_avg,Opponent_Poss_avg,Result
2025,Matchweek 1,Napoli,Hellas Verona,Away,,,,,,,L
2025,Matchweek 2,Napoli,Bologna,Home,1.2727272727272727,0.9090909090909091,56.72727272727273,1.7272727272727273,1.1818181818181819,55.63636363636363,W
2025,Matchweek 3,Napoli,Parma,Home,1.4545454545454546,0.9545454545454546,54.95454545454545,1.1818181818181819,1.6818181818181819,43.86363636363637,W
2025,Matchweek 4,Napoli,Cagliari,Away,1.5,0.8125,55.8125,1.03125,1.34375,45.34375,W
2025,Matchweek 5,Napoli,Juventus,Away,1.5757575757575757,0.7878787878787878,55.60606060606061,1.4848484848484849,0.9090909090909091,56.06060606060606,D
2025,Matchweek 6,Napoli,Monza,Home,1.5294117647058822,0.7647058823529411,55.029411764705884,0.6470588235294118,1.8823529411764706,49.11764705882353,W
2025,Matchweek 7,Napoli,Como,Home,1.542857142857143,0.7428571428571429,54.857142857142854,1.3428571428571427,1.3428571428571427,53.857142857142854,W
2025,Matchweek 8,Napoli,Empoli,Away,1.5833333333333333,0.75,54.47222222222222,0.8888888888888888,1.5833333333333333,41.52777777777778,W
2025,Matchweek 9,Napoli,Lecce,Home,1.5675675675675675,0.7297297297297297,54.351351351351354,0.7297297297297297,1.5405405405405406,44.054054054054056,W
2025,Matchweek 10,Napoli,Milan,Away,0.0,3.0,67.0,2.0,2.0,56.0,W
2025,Matchweek 11,Napoli,Atalanta,Home,1.0,1.5,53.0,3.0,0.0,52.5,L
2025,Matchweek 12,Napoli,Inter,Away,0.6666666666666666,2.0,52.0,,,,D
2025,Matchweek 13,Napoli,Roma,Home,0.75,1.75,50.75,1.25,1.5,58.5,W
2025,Matchweek 14,Napoli,Torino,Away,0.8,1.4,53.2,0.6,1.4,48.2,W
2025,Matchweek 15,Napoli,Lazio,Home,0.8333333333333334,1.1666666666666667,53.0,2.5,1.0,60.166666666666664,L
2025,Matchweek 16,Napoli,Udinese,Away,0.7142857142857143,1.1428571428571428,53.42857142857143,1.0,1.7142857142857142,43.42857142857143,W
2025,Matchweek 17,Napoli,Genoa,Away,1.0,1.125,55.5,1.0,0.75,44.125,W
2025,Matchweek 18,Napoli,Venezia,Home,1.1111111111111112,1.1111111111111112,56.22222222222222,1.2222222222222223,1.8888888888888888,44.333333333333336,W
2025,Matchweek 19,Napoli,Fiorentina,Away,1.1,1.0,57.2,1.3333333333333333,0.7777777777777778,51.77777777777778,W
2025,Matchweek 20,Napoli,Hellas Verona,Home,1.4166666666666667,0.8333333333333334,55.25,1.1666666666666667,2.0,38.0,W
2025,Matchweek 21,Napoli,Atalanta,Away,1.4615384615384615,0.7692307692307693,56.30769230769231,1.9230769230769231,0.6923076923076923,55.46153846153846,W
2025,Matchweek 22,Napoli,Juventus,Home,1.5714285714285714,0.8571428571428571,55.42857142857143,1.7857142857142858,0.8571428571428571,57.785714285714285,W
2025,Matchweek 23,Napoli,Roma,Away,1.6,0.8666666666666667,55.0,1.6666666666666667,1.2666666666666666,53.86666666666667,D
2025,Matchweek 24,Napoli,Udinese,Home,1.5625,0.875,54.625,1.1875,1.6875,44.9375,D
2025,Matchweek 25,Napoli,Lazio,Away,1.5294117647058822,0.8823529411764706,55.05882352941177,1.8823529411764706,1.3529411764705883,57.705882352941174,D
2025,Matchweek 26,Napoli,Como,Away,1.5555555555555556,0.9444444444444444,54.611111111111114,1.1111111111111112,1.5555555555555556,52.388888888888886,L
2025,Matchweek 27,Napoli,Inter,Home,1.5263157894736843,1.0,54.78947368421053,,,,D
2025,Matchweek 28,Napoli,Fiorentina,Home,1.5,1.0,55.15,1.0526315789473684,1.0526315789473684,50.05263157894737,W
2025,Matchweek 29,Napoli,Venezia,Away,1.5238095238095237,1.0,54.857142857142854,0.8095238095238095,1.380952380952381,44.904761904761905,D
2025,Matchweek 30,Napoli,Milan,Home,1.4782608695652173,0.9565217391304348,54.95652173913044,1.391304347826087,1.2173913043478262,55.869565217391305,W
2025,Matchweek 31,Napoli,Bologna,Away,1.5,0.9583333333333334,54.791666666666664,1.7083333333333333,1.125,58.416666666666664,D
2025,Matchweek 32,Napoli,Empoli,Home,1.48,0.96,54.16,0.8,1.72,41.0,W
2025,Matchweek 33,Napoli,Monza,Away,1.5384615384615385,0.9230769230769231,54.5,0.6538461538461539,1.8461538461538463,49.19230769230769,W
2025,Matchweek 34,Napoli,Torino,Home,1.5185185185185186,0.8888888888888888,54.7037037037037,1.037037037037037,0.9629629629629629,47.148148148148145,W
2025,Matchweek 35,Napoli,Lecce,Away,1.5357142857142858,0.8571428571428571,54.82142857142857,0.7857142857142857,1.5357142857142858,44.67857142857143,W
2025,Matchweek 36,Napoli,Genoa,Home,1.5172413793103448,0.8275862068965517,54.827586206896555,0.896551724137931,0.9310344827586207,46.51724137931034,D
2025,Matchweek 37,Napoli,Parma,Away,1.5333333333333334,0.8666666666666667,54.96666666666667,1.1,1.5333333333333334,43.53333333333333,D
2025,Matchweek 38,Napoli,Cagliari,Home,1.4838709677419355,0.8387096774193549,55.483870967741936,1.064516129032258,1.3225806451612903,45.70967741935484,W
2025,Matchweek 1,Internazionale,Genoa,Away,,,,,,,D
2025,Matchweek 2,Internazionale,Lecce,Home,2.8,0.6,60.4,0.7272727272727273,1.4545454545454546,45.81818181818182,W
2025,Matchweek 3,Internazionale,Atalanta,Home,2.2857142857142856,0.6190476190476191,59.333333333333336,2.0,0.7272727272727273,54.95454545454545,W
