,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
37,2025,Matchweek 38,Napoli,Cagliari,Home,53000,4-3-3,3-5-2,2.4,0.1,66,18,6,13.8,0,0,0,2,0,W
38,2025,Matchweek 1,Internazionale,Genoa,Away,33300,3-5-2,3-5-2,1.9,2.1,68,17,7,13.7,1,0,0,2,2,D
39,2025,Matchweek 2,Internazionale,Lecce,Home,70921,3-5-2,4-2-3-1,2.4,0.3,61,10,2,15.2,1,1,1,2,0,W
40,2025,Matchweek 3,Internazionale,Atalanta,Home,71745,3-5-2,3-4-3,1.3,1.4,55,13,4,17.9,0,0,0,4,0,W
41,2025,Matchweek 4,Internazionale,Monza,Away,14541,3-5-2,3-4-3,1.7,0.2,60,16,2,14.8,0,0,0,1,1,D
42,2025,Matchweek 5,Internazionale,Milan,Home,75366,3-5-2,4-2-3-1,0.7,1.7,57,13,4,17.7,0,0,0,1,2,L
43,2025,Matchweek 6,Internazionale,Udinese,Away,24611,3-5-2,3-5-2,2.2,0.8,60,16,7,14.7,0,0,0,3,2,W
44,2025,Matchweek 7,Internazionale,Torino,Home,73348,3-5-2,3-5-2,2.4,1.6,80,29,8,18.7,0,0,0,3,2,W
45,2025,Matchweek 8,Internazionale,Roma,Away,64119,3-5-2,3-4-3,1,1,45,11,6,19.2,0,0,0,1,0,W
46,2025,Matchweek 9,Internazionale,Juventus,Home,75000,3-5-2,4-2-3-1,3,2.1,47,16,7,14.5,0,2,2,4,4,D
47,2025,Matchweek 10,Internazionale,Empoli,Away,15706,3-5-2,3-4-3,1.1,0.3,77,15,5,17.2,1,0,0,3,0,W
48,2025,Matchweek 11,Internazionale,Venezia,Home,66326,3-5-2,3-5-2,2.4,1,57,19,8,16.1,0,0,0,1,0,W
49,2025,Matchweek 12,Internazionale,Napoli,Home,72951,3-5-2,4-3-3,1.5,0.7,53,12,4,21.2,1,0,1,1,1,D
50,2025,Matchweek 13,Internazionale,Hellas Verona,Away,27000,3-5-2,3-5-2,3.2,0.5,69,12,7,13.8,0,0,0,5,0,W
51,2025,Matchweek 15,Internazionale,Parma,Home,71879,3-5-2,4-2-3-1,1.8,0.4,57,18,5,14.4,1,0,0,3,1,W
52,2025,Matchweek 16,Internazionale,Lazio,Away,59000,3-1-4-2,4-2-3-1,2,0.4,48,11,6,18.5,1,1,1,6,0,W
53,2025,Matchweek 17,Internazionale,Como,Home,73204,3-1-4-2,5-4-1,1.6,0.3,62,17,5,14.5,0,0,0,2,0,W
