,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
611,2025,Matchweek 6,Lecce,Milan,Away,71103,4-3-3,4-2-3-1,0.5,1.6,43,16,7,19.2,0,0,0,0,3,L
612,2025,Matchweek 7,Lecce,Udinese,Away,21441,4-2-3-1,3-5-2,0.5,0.9,45,9,3,22,0,0,0,0,1,L
613,2025,Matchweek 8,Lecce,Fiorentina,Home,25124,4-3-1-2,4-4-2,0.2,2.2,39,5,2,21.7,1,0,0,0,6,L
614,2025,Matchweek 9,Lecce,Napoli,Away,51103,4-5-1,4-3-3,0.7,2.7,36,11,1,22.2,1,0,0,0,1,L
615,2025,Matchweek 10,Lecce,Hellas Verona,Home,23698,4-3-3,4-2-3-1,1.7,0.3,58,14,6,21.2,2,0,0,1,0,W
616,2025,Matchweek 11,Lecce,Bologna,Away,25000,4-5-1,4-2-3-1,0.7,1.4,28,6,0,23.7,1,0,0,0,1,L
617,2025,Matchweek 12,Lecce,Empoli,Home,23907,4-5-1,3-1-4-2,1.6,0.6,58,18,3,15.9,2,0,0,1,1,D
618,2025,Matchweek 13,Lecce,Venezia,Away,9448,4-3-3,3-4-3,0.7,2.5,39,7,2,16.5,1,0,0,1,0,W
619,2025,Matchweek 14,Lecce,Juventus,Home,27080,4-2-3-1,4-2-3-1,1.5,1.3,39,10,6,15.3,0,0,0,1,1,D
620,2025,Matchweek 15,Lecce,Roma,Away,58213,3-4-1-2,3-4-1-2,0.9,1.8,41,2,0,27.7,0,1,1,1,4,L
621,2025,Matchweek 16,Lecce,Monza,Home,23663,4-3-3,3-4-3,1.5,0.6,45,10,3,20.1,1,0,1,2,1,W
622,2025,Matchweek 17,Lecce,Lazio,Home,30000,4-3-3,4-2-3-1,0.7,1.6,41,11,2,20.4,0,0,0,1,2,L
623,2025,Matchweek 18,Lecce,Como,Away,12000,4-3-3,4-2-3-1,0.4,2,44,11,1,19.2,0,0,0,0,2,L
624,2025,Matchweek 19,Lecce,Genoa,Home,26436,4-3-3,4-1-4-1,0.6,1.1,63,10,3,16.4,1,0,0,0,0,D
625,2025,Matchweek 20,Lecce,Empoli,Away,9096,4-3-3,3-4-3,1.5,1.4,50,14,6,17.6,0,0,0,3,1,W
626,2025,Matchweek 21,Lecce,Cagliari,Away,16306,4-3-3,4-4-1-1,0.4,2.6,50,7,2,16.7,0,0,0,1,4,L
627,2025,Matchweek 22,Lecce,Inter,Home,27223,4-3-3,3-5-2,0.9,2.1,49,17,4,17.6,0,0,0,0,4,L
628,2025,Matchweek 23,Lecce,Parma,Away,18238,4-3-3,4-2-3-1,0.7,1.9,53,6,3,17.3,0,0,0,3,1,W
629,2025,Matchweek 24,Lecce,Bologna,Home,24910,4-2-3-1,4-2-3-1,0.4,0.8,42,6,1,19.4,0,0,0,0,0,D
630,2025,Matchweek 25,Lecce,Monza,Away,11050,4-2-3-1,3-4-3,0.9,0.2,44,19,5,20.5,3,0,0,0,0,D
631,2025,Matchweek 26,Lecce,Udinese,Home,23989,4-2-3-1,4-4-2,0.4,1.6,45,10,1,20,0,0,0,0,1,L
632,2025,Matchweek 27,Lecce,Fiorentina,Away,17383,4-2-3-1,3-5-2,0.9,1.6,52,8,3,17.5,0,0,0,0,1,L
633,2025,Matchweek 28,Lecce,Milan,Home,25753,4-2-3-1,4-2-3-1,1,3.5,30,11,3,18,0,0,0,2,3,L
634,2025,Matchweek 29,Lecce,Genoa,Away,31495,4-2-3-1,4-2-3-1,1.2,1,56,14,1,24.6,1,1,1,1,2,L
635,2025,Matchweek 30,Lecce,Roma,Home,27207,4-2-3-1,3-4-3,0.7,2.4,45,17,4,19.7,0,0,0,0,1,L
636,2025,Matchweek 31,Lecce,Venezia,Home,25709,4-2-3-1,3-5-2,1.2,0.6,50,23,4,20.5,1,0,0,1,1,D
637,2025,Matchweek 32,Lecce,Juventus,Away,39259,3-4-3,3-4-3,1.1,1.5,35,14,3,16.4,0,0,0,1,2,L
638,2025,Matchweek 33,Lecce,Como,Home,28181,4-2-3-1,4-2-3-1,0.7,1.3,45,14,7,19.6,1,0,0,0,3,L
639,2025,Matchweek 34,Lecce,Atalanta,Away,21875,4-2-3-1,3-4-3,1.4,2.3,27,9,2,22.5,1,1,1,1,1,D
640,2025,Matchweek 35,Lecce,Napoli,Home,28403,4-2-3-1,4-3-3,0.3,0.6,45,9,1,23.9,1,0,0,0,1,L
641,2025,Matchweek 36,Lecce,Hellas Verona,Away,27709,4-2-3-1,3-4-1-2,1.1,0.3,49,11,3,21.7,0,0,0,1,1,D
642,2025,Matchweek 37,Lecce,Torino,Home,21726,4-2-3-1,4-2-3-1,0.8,0.5,43,10,4,18.9,1,0,0,1,0,W
643,2025,Matchweek 38,Lecce,Lazio,Away,53000,4-2-3-1,4-2-3-1,0.4,1.8,29,9,3,16.5,0,0,0,1,0,W
644,2025,Matchweek 1,Empoli,Monza,Home,7746,3-4-3,3-4-3,0.5,0.3,39,11,2,17.8,1,0,0,0,0,D
645,2025,Matchweek 2,Empoli,Roma,Away,67517,3-4-3,4-3-2-1,2.7,2.1,27,13,3,13.6,0,1,1,2,1,W
646,2025,Matchweek 3,Empoli,Bologna,Away,25960,3-4-3,4-3-3,1,1.3,31,3,2,7.3,0,0,0,1,1,D
647,2025,Matchweek 4,Empoli,Juventus,Home,15715,3-4-3,4-2-3-1,0.5,0.9,35,8,3,21.5,0,0,0,0,0,D
648,2025,Matchweek 5,Empoli,Cagliari,Away,15225,3-4-3,3-5-2,0.8,2.2,39,9,4,14.3,0,0,0,2,0,W
649,2025,Matchweek 6,Empoli,Fiorentina,Home,13053,3-1-4-2,4-2-3-1,0.4,0.7,38,8,1,21.6,0,0,0,0,0,D
650,2025,Matchweek 7,Empoli,Lazio,Away,38000,3-1-4-2,4-2-3-1,0.5,2.1,42,7,2,14.5,0,0,0,1,2,L
651,2025,Matchweek 8,Empoli,Napoli,Home,12000,3-1-4-2,4-3-3,0.7,1.3,50,11,4,21,1,0,0,0,1,L
652,2025,Matchweek 9,Empoli,Parma,Away,17802,3-1-4-2,4-1-4-1,0.2,1.7,40,5,1,18.3,0,0,0,1,1,D
653,2025,Matchweek 10,Empoli,Inter,Home,15706,3-4-3,3-5-2,0.3,1.1,23,6,1,18.2,1,0,0,0,3,L
654,2025,Matchweek 11,Empoli,Como,Home,8102,3-4-3,4-2-3-1,0.6,0.4,42,9,4,19.4,0,0,0,1,0,W
655,2025,Matchweek 12,Empoli,Lecce,Away,23907,3-1-4-2,4-5-1,0.6,1.6,42,11,6,22.1,0,0,0,1,1,D
656,2025,Matchweek 13,Empoli,Udinese,Home,1449,3-4-3,3-5-2,0.1,0.8,30,4,2,24.9,0,0,0,1,1,D
657,2025,Matchweek 14,Empoli,Milan,Away,68725,3-5-2,4-2-3-1,0.5,2.3,45,9,0,23.4,0,0,0,0,3,L
658,2025,Matchweek 15,Empoli,Hellas Verona,Away,23949,3-4-3,4-2-3-1,1.3,0.9,50,15,5,20.4,1,0,0,4,1,W
659,2025,Matchweek 16,Empoli,Torino,Home,7832,3-4-3,3-5-2,0.6,1,59,10,4,20,1,0,0,0,1,L
660,2025,Matchweek 17,Empoli,Atalanta,Away,22163,3-4-3,3-4-3,1.3,1.3,35,6,2,23.1,0,1,1,2,3,L
661,2025,Matchweek 18,Empoli,Genoa,Home,12657,4-4-2,4-2-3-1,1.3,1.8,58,11,7,23.8,1,0,1,1,2,L
662,2025,Matchweek 19,Empoli,Venezia,Away,10591,3-1-4-2,3-5-2,1.8,0.8,50,18,5,18.4,0,0,0,1,1,D
663,2025,Matchweek 20,Empoli,Lecce,Home,9096,3-4-3,4-3-3,1.4,1.5,50,15,5,17.3,1,0,0,1,3,L
664,2025,Matchweek 21,Empoli,Inter,Away,61230,5-3-2,3-5-2,0.4,2.1,32,5,1,22.7,1,0,0,1,3,L
665,2025,Matchweek 22,Empoli,Bologna,Home,10321,3-4-3,4-2-3-1,0.6,0.7,37,5,1,17,0,0,0,1,1,D
666,2025,Matchweek 23,Empoli,Juventus,Away,40160,3-4-3,4-2-3-1,0.8,1.8,45,10,3,20.5,0,0,0,1,4,L
667,2025,Matchweek 24,Empoli,Milan,Home,14691,3-4-3,4-2-3-1,0.7,1.3,39,8,0,14.3,0,0,0,0,2,L
668,2025,Matchweek 25,Empoli,Udinese,Away,19539,3-5-2,4-4-2,2.1,2.3,44,16,4,14.9,1,0,0,0,3,L
669,2025,Matchweek 26,Empoli,Atalanta,Home,9176,3-1-4-2,3-4-3,0.9,2.1,46,10,1,18.8,1,0,0,0,5,L
670,2025,Matchweek 27,Empoli,Genoa,Away,31295,3-4-3,3-4-3,0.9,0.3,40,7,1,16.9,1,0,0,1,1,D
671,2025,Matchweek 28,Empoli,Roma,Home,12393,3-4-3,3-4-3,0.1,2,36,3,1,21.2,0,0,0,0,1,L
672,2025,Matchweek 29,Empoli,Torino,Away,20402,3-4-3,4-3-3,0.9,0.6,50,16,2,17,0,0,0,0,1,L
673,2025,Matchweek 30,Empoli,Como,Away,10118,3-4-3,4-2-3-1,2,1.9,29,14,4,17.1,1,0,0,1,1,D
674,2025,Matchweek 31,Empoli,Cagliari,Home,9054,3-4-3,3-4-3,0.3,0.3,46,7,1,26,1,0,0,0,0,D
675,2025,Matchweek 32,Empoli,Napoli,Away,50898,3-4-3,4-3-3,1.2,2,37,12,1,15.6,0,0,0,0,3,L
676,2025,Matchweek 33,Empoli,Venezia,Home,8477,3-4-3,3-5-2,1.2,1.8,46,11,4,20.2,1,0,0,2,2,D
677,2025,Matchweek 34,Empoli,Fiorentina,Away,20547,3-4-3,3-5-2,0.4,0.8,47,8,5,24.7,1,0,0,1,2,L
678,2025,Matchweek 35,Empoli,Lazio,Home,8787,3-4-3,4-2-3-1,0.2,1.8,38,7,2,23,0,0,0,0,1,L
679,2025,Matchweek 36,Empoli,Parma,Home,12040,3-4-3,3-5-2,0.6,0.3,46,15,4,22.1,2,0,0,2,1,W
680,2025,Matchweek 37,Empoli,Monza,Away,7472,3-4-3,3-5-2,1.3,1.1,33,9,4,15.5,0,0,0,3,1,W
681,2025,Matchweek 38,Empoli,Hellas Verona,Home,14025,3-4-3,3-5-1-1,0.9,0.8,69,15,5,22.1,4,0,0,1,2,L
682,2025,Matchweek 1,Venezia,Lazio,Away,42000,3-4-3,4-3-3,0.6,2.4,33,11,2,19.9,1,0,0,1,3,L
683,2025,Matchweek 2,Venezia,Fiorentina,Away,18915,3-4-3,3-4-3,0.6,0.9,46,8,4,15.3,0,0,0,0,0,D
684,2025,Matchweek 3,Venezia,Torino,Home,10652,3-4-3,3-5-2,0.8,1,42,13,4,19,1,0,0,0,1,L
685,2025,Matchweek 4,Venezia,Milan,Away,71273,5-4-1,4-3-3,0.3,2.2,38,6,1,24.7,0,0,0,0,4,L
686,2025,Matchweek 5,Venezia,Genoa,Home,10502,3-5-2,3-5-2,1.7,0.5,49,11,3,22.8,0,0,1,2,0,W
687,2025,Matchweek 6,Venezia,Roma,Away,62165,3-4-3,3-4-3,1.7,1.7,31,18,6,17.5,1,0,0,1,2,L
688,2025,Matchweek 7,Venezia,Hellas Verona,Away,25979,3-5-2,4-2-3-1,0.9,2.3,49,14,2,20.6,1,0,0,1,2,L
689,2025,Matchweek 8,Venezia,Atalanta,Home,11979,3-4-3,3-4-3,0.8,1.4,43,12,4,17.9,1,0,0,0,2,L
690,2025,Matchweek 9,Venezia,Monza,Away,10141,3-4-3,3-4-3,0.4,1.1,54,6,2,13.2,0,0,0,2,2,D
691,2025,Matchweek 10,Venezia,Udinese,Home,10000,3-4-3,3-5-1-1,2.3,0.9,57,16,5,23.6,1,2,2,3,2,W
692,2025,Matchweek 11,Venezia,Inter,Away,66326,3-5-2,3-5-2,1,2.4,43,7,2,17.3,0,0,0,0,1,L
693,2025,Matchweek 12,Venezia,Parma,Home,10866,3-4-3,4-2-3-1,0.8,1,67,12,6,18.7,1,0,0,1,2,L
694,2025,Matchweek 13,Venezia,Lecce,Home,9448,3-4-3,4-3-3,2.5,0.7,61,16,6,14.7,1,0,0,0,1,L
695,2025,Matchweek 14,Venezia,Bologna,Away,24866,3-4-3,4-2-3-1,0.4,3.2,40,5,1,14.6,0,0,0,0,3,L
696,2025,Matchweek 15,Venezia,Como,Home,8026,3-4-3,4-2-3-1,0.3,1,35,8,4,27.3,3,0,0,2,2,D
697,2025,Matchweek 16,Venezia,Juventus,Away,38425,3-4-3,4-2-3-1,0.4,2.1,31,8,2,16.4,0,0,0,2,2,D
698,2025,Matchweek 17,Venezia,Cagliari,Home,9713,3-4-3,3-5-1-1,1.5,2.1,32,12,6,21,0,0,0,2,1,W
699,2025,Matchweek 18,Venezia,Napoli,Away,51199,3-4-1-2,4-3-3,0.2,1.9,34,4,2,25.4,1,0,0,0,1,L
700,2025,Matchweek 19,Venezia,Empoli,Home,10591,3-5-2,3-1-4-2,0.8,1.8,50,8,3,20.7,0,0,0,1,1,D
701,2025,Matchweek 20,Venezia,Inter,Home,12048,3-5-2,3-1-4-2,0.4,1.9,41,7,2,18.8,1,0,0,0,1,L
702,2025,Matchweek 21,Venezia,Parma,Away,15865,3-5-2,4-2-3-1,1.1,1.6,41,6,1,18.3,0,1,1,1,1,D
703,2025,Matchweek 22,Venezia,Hellas Verona,Home,9481,3-5-2,3-4-1-2,0.6,1.6,50,9,1,15.1,0,0,0,1,1,D
704,2025,Matchweek 23,Venezia,Udinese,Away,19767,3-5-2,4-4-2,1.2,0.6,49,14,3,17.8,1,0,0,2,3,L
705,2025,Matchweek 24,Venezia,Roma,Home,9380,3-4-3,3-4-3,0.7,1.6,62,12,3,16.9,0,0,0,0,1,L
706,2025,Matchweek 25,Venezia,Genoa,Away,30478,3-5-2,4-4-2,0.5,1.5,49,7,3,22.5,1,0,0,0,2,L
707,2025,Matchweek 26,Venezia,Lazio,Home,8796,3-5-1-1,4-2-3-1,0.8,1.1,37,9,2,14.8,0,0,0,0,0,D
708,2025,Matchweek 27,Venezia,Atalanta,Away,21991,3-5-2,3-4-3,0.8,1.9,40,8,2,18.9,0,0,0,0,0,D
709,2025,Matchweek 28,Venezia,Como,Away,10080,3-5-2,4-3-3,1.3,1.3,45,9,3,18.2,0,1,1,1,1,D
710,2025,Matchweek 29,Venezia,Napoli,Home,11440,3-5-2,4-2-3-1,0.7,1.7,43,12,3,18.6,1,0,0,0,0,D
711,2025,Matchweek 30,Venezia,Bologna,Home,9864,3-5-2,4-2-3-1,0.8,1,41,6,3,13.7,0,0,0,0,1,L
712,2025,Matchweek 31,Venezia,Lecce,Away,25709,3-5-2,4-2-3-1,0.6,1.2,50,13,3,19.2,0,0,0,1,1,D
713,2025,Matchweek 32,Venezia,Monza,Home,10001,3-5-2,3-5-2,1.3,0.5,44,8,4,20.1,3,0,0,1,0,W
714,2025,Matchweek 33,Venezia,Empoli,Away,8477,3-5-2,3-4-3,1.8,1.2,54,13,7,18.1,1,0,0,2,2,D
715,2025,Matchweek 34,Venezia,Milan,Home,12048,3-5-2,3-4-3,1.2,1.6,51,15,2,15.6,2,0,0,0,2,L
716,2025,Matchweek 35,Venezia,Torino,Away,21931,3-5-2,4-3-2-1,0.6,2.1,45,7,3,13.5,0,0,0,1,1,D
717,2025,Matchweek 36,Venezia,Fiorentina,Home,11000,3-5-2,3-4-3,2,1.1,35,9,4,13.4,1,0,0,2,1,W
718,2025,Matchweek 37,Venezia,Cagliari,Away,16176,3-5-2,3-5-2,0.5,1.6,57,10,1,19.2,0,0,0,0,3,L
719,2025,Matchweek 38,Venezia,Juventus,Home,12048,3-5-2,3-4-3,0.9,1.9,44,12,5,18.7,2,0,0,2,3,L
720,2025,Matchweek 1,Monza,Empoli,Away,7746,3-4-3,3-4-3,0.3,0.5,61,6,1,16,0,0,0,0,0,D
721,2025,Matchweek 2,Monza,Genoa,Home,10394,3-4-3,3-5-2,0.4,0.7,69,9,2,16.7,0,0,0,0,1,L
722,2025,Matchweek 3,Monza,Fiorentina,Away,18376,3-4-3,3-4-3,0.3,2,32,4,3,22.1,0,0,0,2,2,D
723,2025,Matchweek 4,Monza,Inter,Home,14541,3-4-3,3-5-2,0.2,1.7,40,5,2,19.6,1,0,0,1,1,D
724,2025,Matchweek 5,Monza,Bologna,Home,9991,3-4-3,4-3-3,0.6,0.8,43,6,3,17.5,0,0,0,1,2,L
725,2025,Matchweek 6,Monza,Napoli,Away,50000,3-4-3,4-3-3,0.3,1.1,51,5,1,24.3,2,0,0,0,2,L
726,2025,Matchweek 7,Monza,Roma,Home,12021,3-4-3,3-4-3,1.1,1.1,35,3,3,16.1,0,0,0,1,1,D
727,2025,Matchweek 8,Monza,Hellas Verona,Away,24854,3-4-3,4-4-2,1.4,0.9,41,10,4,18.9,0,0,0,3,0,W
728,2025,Matchweek 9,Monza,Venezia,Home,10141,3-4-3,3-4-3,1.1,0.4,46,13,2,16,0,0,0,2,2,D
729,2025,Matchweek 10,Monza,Atalanta,Away,22142,3-4-3,3-4-3,0.1,1.2,47,4,3,28.9,1,0,0,0,2,L
730,2025,Matchweek 11,Monza,Milan,Home,17000,3-4-3,4-2-3-1,1.2,2.5,44,12,2,19.8,2,0,0,0,1,L
731,2025,Matchweek 12,Monza,Lazio,Home,11706,3-4-3,4-3-3,1,1.6,51,12,2,15.4,1,0,0,0,1,L
732,2025,Matchweek 13,Monza,Torino,Away,22000,3-4-3,3-5-2,0.9,1,46,9,6,15.3,0,0,0,1,1,D
733,2025,Matchweek 14,Monza,Como,Away,9749,3-4-3,4-2-3-1,1.3,1.3,45,8,2,18.3,0,1,1,1,1,D
734,2025,Matchweek 15,Monza,Udinese,Home,9317,3-4-3,4-4-2,1.3,1.2,67,27,4,17.9,0,0,0,1,2,L
735,2025,Matchweek 16,Monza,Lecce,Away,23663,3-4-3,4-3-3,0.6,1.5,55,9,0,19.3,1,0,0,1,2,L
736,2025,Matchweek 17,Monza,Juventus,Home,15479,3-4-3,4-2-3-1,1.3,1.8,45,17,5,17.8,0,0,0,1,2,L
737,2025,Matchweek 18,Monza,Parma,Away,17499,3-4-1-2,4-3-3,2.2,1.4,56,10,3,11,0,0,0,1,2,L
738,2025,Matchweek 19,Monza,Cagliari,Home,10982,3-4-3,4-4-2,1.4,0.8,53,5,1,19.6,0,1,1,1,2,L
739,2025,Matchweek 20,Monza,Fiorentina,Home,9153,3-4-3,4-2-3-1,0.7,1.4,35,10,3,19.2,0,0,0,2,1,W
740,2025,Matchweek 21,Monza,Bologna,Away,23381,4-4-2,4-2-3-1,0.5,1.8,42,3,1,22.9,0,0,0,1,3,L
741,2025,Matchweek 22,Monza,Genoa,Away,29976,3-4-3,4-2-3-1,0.4,2.6,50,5,1,15.2,0,0,0,0,2,L
742,2025,Matchweek 23,Monza,Hellas Verona,Home,11723,3-4-3,3-4-1-2,0.4,0.9,66,9,2,23.9,1,0,0,0,1,L
743,2025,Matchweek 24,Monza,Lazio,Away,31540,3-4-3,4-2-3-1,0.9,3.2,39,2,0,29,1,1,1,1,5,L
744,2025,Matchweek 25,Monza,Lecce,Home,11050,3-4-3,4-2-3-1,0.2,0.9,56,8,3,25.5,1,0,0,0,0,D
745,2025,Matchweek 26,Monza,Roma,Away,56965,3-4-3,3-4-3,0.3,1.5,35,5,2,18.2,1,0,0,0,4,L
746,2025,Matchweek 27,Monza,Torino,Home,11053,3-5-2,4-2-3-1,1,1.2,53,9,2,14.3,0,0,0,0,2,L
747,2025,Matchweek 28,Monza,Inter,Away,66344,3-5-2,3-5-2,0.6,2.6,31,8,4,23,0,0,0,2,3,L
748,2025,Matchweek 29,Monza,Parma,Home,9251,3-5-2,4-3-3,0.7,0.7,45,12,4,15.9,1,0,0,1,1,D
749,2025,Matchweek 30,Monza,Cagliari,Away,16319,3-5-2,3-4-3,0.4,1.7,58,12,3,20.3,1,0,0,0,3,L
750,2025,Matchweek 31,Monza,Como,Home,8649,3-5-2,4-2-3-1,0.8,2.2,42,8,4,13.6,0,0,0,1,3,L
751,2025,Matchweek 32,Monza,Venezia,Away,10001,3-5-2,3-5-2,0.5,1.3,56,11,3,17.1,0,0,0,0,1,L
752,2025,Matchweek 33,Monza,Napoli,Home,13784,3-5-2,4-3-3,0.9,1.5,40,8,0,19.4,1,0,0,0,1,L
753,2025,Matchweek 34,Monza,Juventus,Away,40016,3-5-2,3-4-3,0.7,1.4,65,12,3,18.3,0,0,0,0,2,L
754,2025,Matchweek 35,Monza,Atalanta,Home,10440,3-5-1-1,3-4-3,0.8,2.4,51,14,7,18.2,0,0,0,0,4,L
755,2025,Matchweek 36,Monza,Udinese,Away,20845,3-5-2,3-4-3,1.5,1.6,40,5,2,8.5,0,0,0,2,1,W
756,2025,Matchweek 37,Monza,Empoli,Home,7472,3-5-2,3-4-3,1.1,1.3,67,12,4,22.3,2,0,0,1,3,L
757,2025,Matchweek 38,Monza,Milan,Away,69124,3-4-3,4-2-3-1,0.3,1.5,45,6,2,19.1,0,0,0,0,2,L
758,2024,Matchweek 1,Internazionale,Monza,Home,72509,3-5-2,3-5-2,2.7,0.8,47,22,3,17.2,1,0,0,2,0,W
759,2024,Matchweek 2,Internazionale,Cagliari,Away,16412,3-5-2,4-2-3-1,0.9,0.6,67,17,3,15.9,0,0,0,2,0,W
760,2024,Matchweek 3,Internazionale,Fiorentina,Home,72739,3-5-2,4-2-3-1,3.7,0.4,40,20,10,14.5,1,1,1,4,0,W
761,2024,Matchweek 4,Internazionale,Milan,Home,75571,3-5-2,4-3-3,2.6,1.1,41,13,6,15.2,1,1,1,5,1,W
762,2024,Matchweek 5,Internazionale,Empoli,Away,15651,3-5-2,4-3-2-1,1.6,0.3,61,23,5,16.8,0,0,0,1,0,W
763,2024,Matchweek 6,Internazionale,Sassuolo,Home,70864,3-5-2,4-2-3-1,0.9,1,63,13,3,15.2,0,0,0,1,2,L
764,2024,Matchweek 7,Internazionale,Salernitana,Away,28085,3-5-2,3-4-3,2.3,0.6,64,15,5,16.8,1,1,1,4,0,W
765,2024,Matchweek 8,Internazionale,Bologna,Home,74072,3-5-2,4-2-3-1,0.7,1.3,63,14,5,18.3,1,0,0,2,2,D
766,2024,Matchweek 9,Internazionale,Torino,Away,26193,3-5-2,3-4-3,2.5,0.4,53,13,3,17.1,1,1,1,3,0,W
767,2024,Matchweek 10,Internazionale,Roma,Home,75573,3-5-2,3-5-2,2.2,0.1,63,19,3,16,0,0,0,1,0,W
768,2024,Matchweek 11,Internazionale,Atalanta,Away,14945,3-5-2,3-4-1-2,1.3,1,46,9,3,23,1,1,1,2,1,W
769,2024,Matchweek 12,Internazionale,Frosinone,Home,70816,3-5-2,3-4-3,3.1,0.7,47,20,5,19.6,1,1,1,2,0,W
770,2024,Matchweek 13,Internazionale,Juventus,Away,41507,3-5-2,5-3-2,0.9,0.4,65,8,4,16.4,0,0,0,1,1,D
771,2024,Matchweek 14,Internazionale,Napoli,Away,55000,3-5-2,4-3-3,2.7,0.6,43,11,4,16,0,0,0,3,0,W
772,2024,Matchweek 15,Internazionale,Udinese,Home,71874,3-5-2,3-1-4-2,3.5,0.8,74,16,7,16.7,0,1,1,4,0,W
773,2024,Matchweek 16,Internazionale,Lazio,Away,59000,3-5-2,4-3-3,1.6,1.5,52,12,4,13.8,1,0,0,2,0,W
774,2024,Matchweek 17,Internazionale,Lecce,Home,72723,3-5-2,4-3-3,2.9,1.3,68,20,8,15.1,1,0,0,2,0,W
775,2024,Matchweek 18,Internazionale,Genoa,Away,33249,3-5-2,3-5-2,1.8,0.5,52,16,6,14.4,0,0,0,1,1,D
776,2024,Matchweek 19,Internazionale,Hellas Verona,Home,71691,3-5-2,4-2-3-1,1.9,1.3,61,15,6,15.2,0,0,0,2,1,W
777,2024,Matchweek 20,Internazionale,Monza,Away,14670,3-5-2,3-4-3,4.3,1,43,18,5,19.7,1,2,2,5,1,W
778,2024,Matchweek 22,Internazionale,Fiorentina,Away,35084,3-5-2,4-2-3-1,0.5,1.8,43,8,4,17.1,0,0,0,1,0,W
779,2024,Matchweek 23,Internazionale,Juventus,Home,75547,3-5-2,3-5-2,1.7,0.6,54,15,3,15.4,0,0,0,1,0,W
780,2024,Matchweek 24,Internazionale,Roma,Away,65044,5-3-2,4-3-3,0.9,0.7,53,10,6,21.2,1,0,0,4,2,W
781,2024,Matchweek 25,Internazionale,Salernitana,Home,72609,3-5-2,3-4-3,3.9,0,72,26,10,14,1,0,0,4,0,W
782,2024,Matchweek 26,Internazionale,Lecce,Away,27910,3-5-2,4-2-3-1,2.9,1,61,11,7,15.6,0,0,0,4,0,W
783,2024,Matchweek 21,Internazionale,Atalanta,Home,71422,3-5-2,3-4-1-2,2,0.3,59,14,6,17.8,0,0,1,4,0,W
784,2024,Matchweek 27,Internazionale,Genoa,Home,75421,3-5-2,3-5-2,1.8,0.8,62,14,4,17.9,0,1,1,2,1,W
785,2024,Matchweek 28,Internazionale,Bologna,Away,30204,3-5-2,4-1-4-1,0.9,0.6,40,5,4,12.6,0,0,0,1,0,W
786,2024,Matchweek 29,Internazionale,Napoli,Home,71551,3-5-2,4-3-3,1.6,1.4,49,19,6,15.5,1,0,0,1,1,D
787,2024,Matchweek 30,Internazionale,Empoli,Home,71551,3-5-2,3-4-3,2.1,0.5,59,19,7,17.9,0,0,0,2,0,W
788,2024,Matchweek 31,Internazionale,Udinese,Away,24993,3-5-2,3-5-1-1,3.3,0.1,76,22,5,17.4,0,1,1,2,1,W
789,2024,Matchweek 32,Internazionale,Cagliari,Home,72559,3-5-2,5-4-1,2,1.1,63,14,6,19,1,1,1,2,2,D
790,2024,Matchweek 33,Internazionale,Milan,Away,75554,3-5-2,4-2-3-1,2,2.2,48,11,3,17.1,0,0,0,2,1,W
791,2024,Matchweek 34,Internazionale,Torino,Home,71686,3-5-2,4-2-3-1,1.7,0.5,62,16,4,24.2,2,1,1,2,0,W
792,2024,Matchweek 35,Internazionale,Sassuolo,Away,19454,3-5-2,3-5-2,1.1,0.3,75,14,1,16,0,0,0,0,1,L
793,2024,Matchweek 36,Internazionale,Frosinone,Away,16021,3-5-2,3-4-3,1.8,1.3,58,14,5,16.3,0,0,0,5,0,W
794,2024,Matchweek 37,Internazionale,Lazio,Home,73148,3-5-2,3-4-3,1.4,0.6,57,19,7,17.4,1,0,0,1,1,D
795,2024,Matchweek 38,Internazionale,Hellas Verona,Away,22447,3-5-2,4-2-3-1,2.4,1.7,65,15,10,13.9,1,0,0,2,2,D
796,2024,Matchweek 1,Milan,Bologna,Away,30203,4-3-3,4-1-3-2,0.9,1,47,9,5,15.7,0,0,0,2,0,W
797,2024,Matchweek 2,Milan,Torino,Home,72013,4-3-3,3-4-3,3,0.5,59,15,5,20.7,0,2,2,4,1,W
798,2024,Matchweek 3,Milan,Roma,Away,61690,4-2-3-1,3-5-2,1.5,0.7,56,8,3,14.2,0,1,1,2,1,W
799,2024,Matchweek 4,Milan,Inter,Away,75571,4-3-3,3-5-2,1.1,2.6,59,9,2,18.6,1,0,0,1,5,L
800,2024,Matchweek 5,Milan,Hellas Verona,Home,71070,4-2-3-1,3-4-3,0.9,0.6,54,9,4,13.7,0,0,0,1,0,W
801,2024,Matchweek 6,Milan,Cagliari,Away,16348,4-3-3,5-4-1,2.1,0.9,66,17,6,17.8,0,0,0,3,1,W
802,2024,Matchweek 7,Milan,Lazio,Home,72035,4-3-3,4-3-3,2.2,0.5,51,14,7,15,0,0,0,2,0,W
803,2024,Matchweek 8,Milan,Genoa,Away,33157,4-3-3,4-5-1,0.6,0.5,59,12,3,19.6,0,0,0,1,0,W
804,2024,Matchweek 9,Milan,Juventus,Home,75676,4-2-3-1,3-5-2,0.3,1.4,52,7,1,17.9,0,0,0,0,1,L
